Cust_No,Target,Nation,Birth_Place,Gender,Age,Marriage_State,Highest Education,House_State,Work_Years,Title,Duty,Industry,Year_Income,Couple_Year_Income,L12_Month_Pay_Amount,Couple_L12_Month_Pay_Amount,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
108,0,90,330621,1,28,99,90,,0,,0,,50000,100000,0,0,524.78,15000,0,3,3,2,1342,3,1,0,0,0,0,0,0
109,0,1,330621,1,52,40,71,1,0,9,0,13,300000,100000,0,0,110.83,10000,100000,10,6,4,1282,5,1,2,2,0,0,0,0
110,0,1,330621,0,35,20,21,1,0,,0,17,60000,100000,0,0,32852.65,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,,330621,1,45,,,,0,,9,,100000,100000,0,0,0,20000,0,7,5,3,1297,4,1,0,0,0,0,0,0
112,0,,330621,1,47,,,,0,,1,,150000,100000,0,0,137908.49,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,,330621,0,36,,,,0,,0,,70000,100000,0,0,106.91,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,1,330621,0,31,10,31,,68623,9,0,,20000,100000,0,0,0,5000,0,16,7,10,6378,56,5,0,0,0,0,0,0
115,0,,330602,1,54,,,,0,,2,,100000,100000,0,0,5133.34,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,,330621,1,23,,,,0,,2,,100000,100000,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,1,330621,1,48,20,61,,0,9,2,,150000,100000,0,0,256992.35,10000,0,2,2,1,33,1,1,0,0,0,0,0,0
118,0,,330602,1,21,,,,0,,0,,80000,100000,0,0,0.24,3000,0,4,2,0,0,0,0,0,0,0,0,0,0
119,0,1,330621,1,35,20,71,,0,,,,6,100000,0,0,13761.55,10000,0,4,3,0,0,0,0,0,0,0,0,0,0
120,0,1,341004,0,39,99,9,1,0,,2,,100000,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,1,330621,0,31,99,61,6,0,,9,,40000,100000,40534.6,0,2080.21,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,,330621,0,54,,,,0,,2,,70000,100000,0,0,16616.76,15000,0,6,4,1,89,1,1,0,0,0,0,0,0
123,0,,330621,1,25,,,,0,,0,,50000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,1,330621,1,26,10,71,1,0,0,9,52,100000,100000,0,0,516.62,10000,150000,3,3,0,0,0,0,1,1,0,0,0,0
125,0,,330621,1,39,,,,0,,,,80000,100000,0,0,7950.74,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,,330621,1,29,,,,0,,1,,200000,100000,0,0,5002.29,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,,320829,1,47,,,,0,,2,,200000,100000,0,0,761.44,20000,0,1,1,0,0,0,0,1,1,0,0,0,0
128,0,,330621,0,25,,,,0,,0,,50000,100000,0,0,12.19,10000,0,3,2,0,0,0,0,0,0,0,0,0,0
129,0,,350582,0,43,,,,0,,1,,600000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,,330621,1,21,,,,0,,0,,40000,100000,0,0,0.25,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,1,330621,0,29,99,9,1,68625,9,0,69,50000,100000,0,0,49311.05,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,1,330323,1,45,20,71,,68625,3,2,51,300000,100000,0,0,2045.04,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,1,330602,0,35,40,21,1,0,,0,51,100000,100000,0,0,305.48,10000,100000,24,14,9,721,6,1,1,1,0,0,0,0
134,0,1,330621,0,27,99,9,5,0,9,0,51,100000,100000,0,0,2904.78,5000,6779.41,8,5,4,497,12,2,1,1,0,0,0,0
135,0,1,330621,1,40,99,90,1,0,,2,51,50000,100000,47171.2,0,0.52,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
136,0,,339005,0,28,,,,0,,0,,50000,100000,0,0,0.45,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,90,330621,1,38,10,61,1,0,,0,72,80000,100000,0,0,163.7,10000,38769.6,9,7,6,3384,12,1,1,1,0,0,0,0
138,0,1,332526,0,42,10,21,1,0,,1,29,1000000,100000,0,0,0,15000,0,4,3,0,0,0,0,3,3,0,0,0,0
139,1,1,330621,0,27,20,90,7,0,9,9,82,50000,100000,0,0,99.12,20000,39073.42,14,10,10,20367,13,4,13,4,12,2437,7,1
140,0,90,330621,1,25,,90,,0,,0,,100000,100000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,,330621,1,32,2,3,,0,,9,,50000,100000,0,0,0.98,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,,330621,0,52,,,,0,,2,,1000000,100000,10485.4,0,0,27000,0,1,1,1,2060,2,1,0,0,0,0,0,0
143,0,,330602,1,25,,,,0,,0,,150000,100000,0,0,0.69,10000,0,4,4,0,0,0,0,1,1,0,0,0,0
144,0,,341122,1,37,,,,0,,9,,70000,100000,0,0,0,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
145,0,90,330621,1,31,20,71,1,0,,0,41,150000,100000,0,0,0,8000,0,7,6,4,743,4,1,2,2,0,0,0,0
146,0,90,330621,1,30,99,9,1,0,9,0,52,150000,100000,0,0,44.98,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,,330681,0,29,,,,0,,,,60000,100000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,,330623,0,43,,,,0,,0,,60000,100000,0,0,3045.15,8000,0,3,3,0,0,0,0,0,0,0,0,0,0
149,0,1,330621,0,32,99,9,1,0,,0,,30000,100000,0,0,2178.82,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,90,330621,1,48,99,71,1,0,,0,1,300000,100000,0,0,777.59,20000,0,3,3,1,176,1,1,1,1,0,0,0,0
151,0,,330621,0,54,,,,0,,1,,500000,100000,1.29,0,12130.7,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,1,330621,0,31,99,90,1,0,,0,,50000,100000,0,0,165001.01,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,1,330621,0,33,99,90,1,0,,0,,50000,100000,42000,0,113509.84,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,,330621,1,35,,,,0,,2,,100000,100000,0,0,851.15,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,1,330621,0,34,20,61,,68626,,2,,100000,100000,2618,0,60.6,4000,0,1,1,1,279,12,2,0,0,0,0,0,0
156,0,,330621,1,28,,,,0,,0,,120000,100000,0,0,22.01,15000,0,9,6,0,0,0,0,0,0,0,0,0,0
157,0,,330421,0,27,,,,0,,0,,50000,100000,0,0,31.34,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,1,330726,1,35,10,21,,68623,9,0,,50000,100000,0,0,25.84,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,,330621,1,29,,,,0,,0,,90000,100000,0,0,0.16,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
160,0,,330621,1,28,,,,0,,1,,100000,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,,330621,1,37,,,,0,,,,0,100000,0,0,107.33,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,,330621,1,34,,,,0,,2,,50000,100000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,1,330621,1,51,10,61,1,0,9,9,15,200000,100000,0,0,738.68,20000,0,5,2,0,0,0,0,2,1,0,0,0,0
164,0,1,330621,1,25,99,9,1,0,,0,,120000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,,330621,1,22,,,,0,,0,,30000,100000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,,330621,1,32,,,,0,,1,,500000,100000,0,0,1541913.98,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,,330602,1,36,,,,0,,0,,100000,100000,0,0,20.47,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,1,330621,1,42,20,31,1,68624,9,9,83,70000,100000,138977.21,0,3400,20000,360000,3,2,2,23,6,1,4,3,1,4059,10,1
169,0,1,330621,0,45,20,21,,68626,2,,,50000,100000,128059.71,0,205.44,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,1,330681,0,36,99,9,1,0,9,9,82,60000,100000,104900.19,0,0.1,20000,0,11,6,0,0,0,0,0,0,0,0,0,0
171,0,,330621,1,26,,,,0,,0,,50000,100000,0,0,7026.74,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,1,330621,1,29,99,21,1,0,,9,51,100000,100000,0,0,975.3,20000,30000,6,5,3,801,4,1,0,0,0,0,0,0
173,0,,330621,1,22,,,,0,,,,0,100000,0,0,21.86,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,1,330621,1,28,10,61,1,0,,0,,60000,100000,0,0,0,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
175,0,1,330621,1,33,10,21,1,68623,9,0,,150000,100000,0,0,60635.92,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,,330621,1,31,,,,0,,0,,70000,100000,0,0,66.38,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
177,0,,330621,0,37,,,,0,,,,0,100000,24692,0,94.05,20000,0,12,7,4,322,7,2,0,0,0,0,0,0
178,0,,330621,1,35,2,,,0,,0,,80000,100000,122756.47,0,72319.5,20000,0,13,8,0,0,0,0,1,1,0,0,0,0
179,0,,330621,1,24,,,,0,,0,,50000,100000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,,330621,1,34,,,,0,,,,0,100000,0,0,50.21,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
